band,species,blength,bdepth,year
19022,fortis,10,8.5,2012
19028,fortis,12.5,8.9,2012
19032,fortis,9.3,7.5,2012
19041,fortis,10.3,9.6,2012
19044,fortis,11,9.2,2012
19048,fortis,10.1,8.2,2012
19072,fortis,9.6,7.8,2012
19082,fortis,10.9,8.6,2012
19104,fortis,10.3,8.4,2012
19114,fortis,9.8,7.7,2012
19121,fortis,10.1,8,2012
19126,fortis,10.4,8.7,2012
19146,fortis,9.6,8.1,2012
19164,fortis,10.6,8.8,2012
19174,fortis,10.6,9.4,2012
19203,fortis,11.9,10,2012
19210,fortis,11.3,9.6,2012
19217,fortis,11.3,9.6,2012
19224,fortis,9.7,8.1,2012
19226,fortis,9.7,7.5,2012
19252,fortis,10.1,8.4,2012
19263,fortis,10,7.9,2012
19274,fortis,10,8.3,2012
19280,fortis,10,8.9,2012
19288,fortis,11.5,9.1,2012
19328,fortis,9.5,7.7,2012
19349,fortis,11.2,8.3,2012
19362,fortis,10.7,8.6,2012
19372,fortis,10,8.4,2012
19382,fortis,9.8,7.7,2012
19384,fortis,10.9,9.1,2012
19392,fortis,9.2,7.7,2012
19394,fortis,10.2,9,2012
19422,fortis,11.3,10.2,2012
19439,fortis,10.3,8.1,2012
19461,fortis,10.7,8.6,2012
19482,fortis,10,8.4,2012
19502,fortis,9.7,8.1,2012
19511,fortis,9.9,8,2012
19536,fortis,10.7,8.3,2012
19563,fortis,11,10.3,2012
19568,fortis,9.7,8,2012
19602,fortis,10.5,8.8,2012
19604,fortis,11.7,9,2012
19614,fortis,10.8,9.3,2012
19623,fortis,9.1,7.6,2012
19627,fortis,10.9,8.2,2012
19642,fortis,12.2,10,2012
19649,fortis,10.9,8.2,2012
19654,fortis,10.7,8.2,2012
19674,fortis,10.4,8.3,2012
19682,fortis,9.7,7.8,2012
19712,fortis,10.3,8,2012
19734,fortis,9.8,8.4,2012
19746,fortis,10.6,9.3,2012
19749,fortis,10.5,8.9,2012
19774,fortis,12.5,9.7,2012
19782,fortis,9.2,7.6,2012
19815,fortis,10.1,9,2012
19820,fortis,10.6,8.6,2012
19821,fortis,11.5,8.9,2012
19829,fortis,10.8,8.6,2012
19832,fortis,10.5,8.8,2012
19835,fortis,10.1,8.5,2012
19840,fortis,10.7,9.2,2012
19849,fortis,9.6,8,2012
19874,fortis,10.7,9.4,2012
19878,fortis,10.1,7.7,2012
19889,fortis,10,8.4,2012
19914,fortis,10,8.5,2012
19921,fortis,10.4,9,2012
19922,fortis,10.4,9,2012
19928,fortis,11.7,9.3,2012
19932,fortis,10.6,8.7,2012
19942,fortis,11.5,8.1,2012
19946,fortis,10.7,8.7,2012
19947,fortis,10.4,7.9,2012
19952,fortis,10.1,7.7,2012
19974,fortis,10.8,8.4,2012
19993,fortis,11.5,9.25,2012
19994,fortis,11.1,8.1,2012
21049,fortis,9.9,8.3,2012
21052,fortis,10.5,8.5,2012
21080,fortis,12.2,9.9,2012
21082,fortis,10.9,8.4,2012
21087,fortis,12.9,9.9,2012
21088,fortis,9.7,7.2,2012
21089,fortis,9.7,8.2,2012
21090,fortis,10,8.2,2012
21129,fortis,10.1,8.3,2012
21160,fortis,10.2,8.4,2012
21161,fortis,9.6,7.5,2012
21162,fortis,9.9,8.2,2012
21165,fortis,10.6,8.6,2012
21169,fortis,9.8,8.2,2012
21191,fortis,11.1,8.8,2012
21244,fortis,10,8.5,2012
21247,fortis,10.9,8.1,2012
21249,fortis,10,8.3,2012
21258,fortis,10.6,8.5,2012
